,Report_time,GHID,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91,291.93,0.0,294.3,0.35,1013.08,272.82,1013.15,86.14,292.19,0.0,294.47,0.34,1014.22,253.49,1014.28,86.64,292.59,0.0,294.09,0.23,1013.4,272.29,1013.48,91.0,293.43,0.0,294.37,0.15,1014.48,271.75,1014.54,94.29,292.47,0.0,293.97,0.22,1014.49,269.43,1014.48,90.97
1,2020040101,shgb,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56,292.49,0.0,294.05,0.23,1013.33,262.95,1013.45,90.65,292.85,0.0,293.69,0.13,1014.4,278.12,1014.49,94.86,292.18,0.0,293.66,0.22,1013.88,275.09,1013.92,91.08,291.52,0.0,293.14,0.23,1014.78,280.72,1014.83,90.24,291.28,40.15,293.69,0.35,1015.04,262.38,1015.05,85.89
2,2020040102,shgb,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12,292.05,0.0,293.45,0.2,1013.84,272.0,1013.91,91.55,291.92,0.0,293.4,0.22,1014.64,275.88,1014.68,91.05,291.25,0.0,293.02,0.25,1014.44,266.48,1014.48,89.33,290.87,165.63,293.79,0.42,1015.13,275.57,1015.16,83.13,290.34,182.38,294.64,0.62,1015.26,276.69,1015.26,76.16
3,2020040103,shgb,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51,291.31,0.0,293.17,0.26,1014.01,275.98,1014.05,88.85,290.88,0.0,292.42,0.21,1014.85,281.17,1014.97,90.66,290.42,134.29,293.44,0.42,1014.48,278.66,1014.5,82.52,290.2,369.51,295.66,0.8,1015.34,282.16,1015.38,70.86,289.75,280.99,295.39,0.81,1015.35,266.65,1015.29,70.02
4,2020040104,shgb,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91,290.86,0.0,292.35,0.2,1014.54,277.28,1014.69,90.92,290.65,86.48,293.26,0.36,1015.05,273.56,1015.09,84.7,290.25,370.06,295.61,0.79,1014.91,284.25,1014.94,71.28,290.0,566.82,297.28,1.12,1015.45,285.43,1015.46,63.33,289.86,786.91,298.63,1.39,1015.2,287.05,1015.16,57.83
5,2020040105,shgb,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93,290.48,166.25,293.17,0.37,1015.17,277.84,1015.25,84.25,290.22,497.67,294.92,0.68,1015.41,280.46,1015.45,74.29,289.93,245.81,295.1,0.74,1015.52,269.63,1015.53,72.11,289.9,751.49,298.87,1.44,1015.29,287.78,1015.22,57.1,289.63,869.87,299.16,1.52,1015.36,289.43,1015.31,55.2
6,2020040106,shgb,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23,290.46,480.83,294.71,0.61,1015.99,281.25,1016.01,76.41,290.36,455.61,296.04,0.85,1015.46,277.94,1015.46,69.96,289.85,751.08,298.34,1.34,1015.29,287.4,1015.3,58.8,289.91,820.47,298.54,1.37,1014.79,284.11,1014.74,58.31,289.5,923.24,298.58,1.42,1014.94,289.11,1014.87,56.67
7,2020040107,shgb,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02,290.51,240.08,294.69,0.6,1016.8,267.15,1016.82,76.8,290.32,440.94,296.26,0.89,1015.63,267.96,1015.63,68.81,289.93,574.93,297.33,1.13,1015.56,270.46,1015.55,62.84,289.35,922.95,298.26,1.38,1014.42,287.49,1014.41,57.23,289.11,910.1,297.95,1.35,1014.31,288.79,1014.34,57.43
8,2020040108,shgb,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92,290.31,1129.96,297.94,1.2,1016.32,283.21,1016.31,62.1,289.68,873.54,297.58,1.21,1016.13,285.36,1016.16,60.91,289.39,898.32,298.67,1.45,1014.86,286.22,1014.86,56.0,289.19,910.48,298.16,1.38,1014.15,289.53,1014.13,56.98,288.62,829.55,297.57,1.33,1013.77,288.8,1013.76,56.91
9,2020040109,shgb,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81,289.87,866.29,298.01,1.27,1015.48,282.95,1015.52,60.14,289.11,135.01,295.02,0.83,1015.27,263.26,1015.24,68.7,289.08,857.33,298.17,1.39,1014.27,285.97,1014.29,56.61,288.6,829.67,297.59,1.34,1013.98,288.8,1014.01,56.77,288.16,688.22,297.19,1.32,1013.64,288.25,1013.6,56.52
10,2020040110,shgb,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69,289.17,293.57,295.94,0.98,1014.6,267.56,1014.6,65.19,288.91,910.84,298.55,1.49,1014.31,289.4,1014.27,54.65,288.56,829.85,297.8,1.38,1013.89,289.06,1013.91,55.91,288.04,687.96,297.12,1.32,1013.81,288.32,1013.81,56.32,287.73,498.89,295.88,1.13,1013.85,286.37,1013.85,59.58
11,2020040111,shgb,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62,289.06,910.74,298.43,1.45,1013.07,289.4,1013.15,55.59,288.69,830.29,297.93,1.39,1013.97,289.88,1014.02,55.95,288.4,688.58,296.92,1.24,1013.41,288.52,1013.43,58.41,287.91,499.28,295.63,1.07,1014.61,286.1,1014.62,61.23,287.73,279.91,294.41,0.89,1014.41,283.19,1014.41,65.26
12,2020040112,shgb,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43,288.81,830.79,297.97,1.39,1012.81,289.92,1012.9,56.25,288.44,689.15,297.18,1.28,1013.98,289.39,1014.02,57.62,288.21,499.17,295.8,1.06,1013.8,286.61,1013.81,61.77,287.74,279.78,294.27,0.87,1015.08,283.17,1015.11,65.84,287.84,62.4,292.96,0.66,1014.95,280.4,1014.97,71.97
13,2020040113,shgb,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05,287.84,690.64,296.26,1.18,1014.17,286.64,1014.18,58.61,287.53,499.26,295.63,1.11,1014.04,283.67,1013.99,59.71,287.8,280.41,294.43,0.88,1014.37,281.92,1014.35,65.51,287.69,62.25,292.93,0.67,1015.24,279.1,1015.27,71.42,287.65,0.0,291.88,0.52,1015.66,274.43,1015.69,76.1
14,2020040114,shgb,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19,287.69,499.12,295.9,1.14,1013.96,282.98,1013.96,59.37,287.49,280.56,294.36,0.91,1014.42,282.37,1014.42,64.47,288.0,62.28,293.07,0.65,1014.92,278.87,1014.97,72.24,287.99,0.0,291.83,0.48,1015.98,274.22,1016.04,78.09,287.64,0.0,291.35,0.45,1016.41,273.07,1016.46,78.7
15,2020040115,shgb,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27,288.07,280.2,294.8,0.91,1014.12,282.1,1014.08,65.1,287.89,62.21,292.69,0.61,1015.4,278.86,1015.44,73.44,288.22,0.0,291.84,0.45,1015.69,274.18,1015.76,79.21,287.94,0.0,291.39,0.42,1016.62,272.65,1016.71,80.02,287.44,0.0,290.93,0.42,1016.91,270.52,1016.94,79.76
16,2020040116,shgb,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78,287.97,62.22,293.12,0.66,1015.0,279.22,1014.98,71.87,288.04,0.0,291.67,0.45,1015.92,274.49,1015.94,79.14,287.94,0.0,291.32,0.41,1016.22,273.31,1016.32,80.39,287.66,0.0,291.41,0.46,1016.96,259.87,1017.0,78.49,287.39,0.0,291.21,0.46,1017.46,250.27,1017.53,78.08
17,2020040117,shgb,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78,287.67,0.0,291.89,0.52,1015.88,274.3,1015.86,76.17,287.48,0.0,291.33,0.47,1016.36,272.49,1016.42,77.97,287.43,0.0,291.56,0.5,1016.69,258.95,1016.75,76.57,287.44,0.0,291.44,0.48,1017.59,245.88,1017.61,77.2,287.2,0.0,291.3,0.49,1017.49,265.38,1017.48,76.68
18,2020040118,shgb,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9,287.38,0.0,291.28,0.47,1016.88,272.76,1016.87,77.71,287.05,0.0,291.13,0.49,1016.67,263.43,1016.74,76.75,287.12,0.0,291.23,0.49,1017.06,250.64,1017.14,76.61,287.34,0.0,291.21,0.46,1017.0,247.29,1017.04,77.84,287.39,0.0,291.21,0.46,1017.33,257.49,1017.33,78.07
19,2020040119,shgb,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41,286.84,0.0,291.76,0.59,1017.04,263.35,1017.04,72.74,286.66,0.0,291.58,0.59,1016.58,256.59,1016.64,72.71,286.96,0.0,291.53,0.55,1017.02,250.53,1017.05,74.42,287.34,0.0,291.25,0.47,1016.73,266.85,1016.74,77.67,287.33,0.0,291.31,0.48,1017.13,260.95,1017.18,77.27
20,2020040120,shgb,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61,287.11,0.0,292.01,0.6,1016.82,262.19,1016.85,72.86,286.96,0.0,291.7,0.57,1017.31,253.26,1017.38,73.58,287.15,0.0,291.31,0.5,1017.04,260.93,1017.23,76.4,287.55,0.0,291.33,0.46,1017.14,255.26,1017.23,78.31,287.44,0.0,290.95,0.42,1016.66,265.64,1016.71,79.68
21,2020040121,shgb,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64,287.49,0.0,292.05,0.56,1016.93,260.01,1016.91,74.48,287.05,0.0,291.63,0.55,1017.04,261.35,1017.12,74.35,287.2,0.0,291.53,0.52,1017.11,252.18,1017.18,75.55,287.65,0.0,291.46,0.46,1017.05,263.28,1017.11,78.18,287.54,0.0,291.03,0.42,1016.9,267.13,1016.98,79.8
22,2020040122,shgb,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43,287.44,0.0,292.23,0.59,1016.99,255.27,1016.98,73.44,287.05,0.0,291.92,0.59,1016.5,266.54,1016.42,72.97,287.27,0.0,291.71,0.54,1017.01,250.38,1017.06,75.06,287.51,0.0,291.15,0.44,1017.0,269.37,1016.96,79.01,287.56,0.0,290.89,0.4,1016.86,270.37,1016.87,80.6
23,2020040123,shgb,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14,287.85,0.0,291.8,0.49,1015.85,269.8,1015.87,77.51,287.82,0.0,291.92,0.51,1016.75,264.51,1016.79,76.78,287.88,0.0,291.92,0.5,1016.51,265.18,1016.52,77.07,287.77,0.0,291.08,0.4,1017.29,270.67,1017.35,80.75,287.7,0.0,290.72,0.36,1016.58,269.87,1016.6,82.28
24,2020040200,shgb,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19,287.96,0.0,292.05,0.51,1015.59,251.32,1015.67,76.82,287.99,0.0,291.59,0.44,1016.95,271.66,1017.02,79.31,288.11,0.0,291.2,0.38,1016.44,271.1,1016.48,81.91,288.03,0.0,291.2,0.39,1017.33,268.29,1017.31,81.48,288.0,0.0,291.55,0.44,1017.2,260.36,1017.17,79.54
25,2020040201,shgb,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91,288.21,0.0,291.72,0.44,1015.47,270.32,1015.54,79.78,288.55,0.0,291.42,0.36,1016.82,269.54,1016.88,83.1,288.15,0.0,291.68,0.44,1016.4,253.63,1016.45,79.66,288.21,0.0,291.42,0.4,1017.37,265.04,1017.36,81.28,288.4,74.79,292.28,0.5,1017.53,250.83,1017.46,77.91
26,2020040202,shgb,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75,288.14,0.0,291.96,0.48,1016.08,254.04,1016.15,78.2,288.38,0.0,291.52,0.39,1016.93,262.93,1016.98,81.66,288.31,0.0,291.37,0.38,1016.72,267.94,1016.76,82.1,288.42,229.81,293.02,0.6,1017.53,267.9,1017.51,74.49,289.03,65.98,293.34,0.58,1017.72,249.07,1017.7,75.93
27,2020040203,shgb,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35,288.72,0.0,291.79,0.39,1016.01,268.41,1016.11,82.08,288.88,0.0,291.4,0.32,1017.57,270.55,1017.69,85.03,288.86,231.57,293.48,0.62,1017.01,269.68,1017.02,74.46,289.29,74.21,293.33,0.54,1018.3,248.01,1018.31,77.28,288.93,606.39,295.93,1.01,1018.16,270.43,1018.14,64.18
28,2020040204,shgb,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74,288.31,0.0,292.01,0.47,1016.4,271.83,1016.36,78.8,288.98,102.49,293.42,0.59,1017.59,261.05,1017.83,75.3,290.03,267.27,294.34,0.61,1017.85,263.63,1017.87,76.07,289.59,71.96,293.16,0.48,1018.49,244.82,1018.44,79.65,289.15,145.45,293.93,0.65,1018.35,249.57,1018.33,73.71
29,2020040205,shgb,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23,288.76,14.89,292.35,0.46,1017.08,253.66,1017.13,79.47,290.18,402.01,294.54,0.62,1017.89,260.46,1017.8,75.92,290.5,150.87,293.8,0.47,1018.34,265.06,1018.35,81.08,289.94,192.92,293.59,0.5,1018.84,263.12,1018.81,79.29,289.65,214.43,293.44,0.52,1018.93,253.57,1018.89,78.56
30,2020040206,shgb,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54,289.61,252.58,293.53,0.54,1018.3,266.3,1018.43,77.9,290.19,315.0,294.22,0.57,1018.15,251.3,1018.16,77.51,290.23,135.42,293.5,0.45,1018.58,259.9,1018.57,81.22,289.9,257.29,293.93,0.56,1018.28,251.81,1018.22,77.37,289.79,292.63,295.25,0.79,1017.9,247.42,1017.87,70.79
31,2020040207,shgb,289.2,52.69,292.13,0.38,1017.07,232.17,1017.12,82.88,289.63,102.65,292.51,0.38,1018.33,243.11,1018.26,83.19,290.37,71.0,293.13,0.38,1018.45,238.96,1018.4,83.91,290.88,82.96,293.0,0.29,1018.34,241.19,1018.33,87.42,290.63,122.66,293.35,0.38,1017.97,254.68,1017.87,84.12,290.74,180.22,293.65,0.41,1017.95,252.67,1017.81,83.11
32,2020040208,shgb,289.71,68.03,293.5,0.52,1017.29,239.51,1016.96,78.56,290.6,144.91,294.19,0.51,1018.51,245.22,1018.45,79.66,291.26,50.41,293.26,0.28,1018.53,224.15,1018.5,88.09,291.23,63.2,293.26,0.29,1018.56,207.11,1018.62,87.89,290.58,98.22,293.74,0.45,1017.84,238.94,1017.77,81.85,290.34,130.92,294.57,0.61,1017.23,244.01,1017.16,76.51
33,2020040209,shgb,290.15,351.75,293.92,0.53,1017.37,237.83,1017.24,78.68,290.66,623.64,296.75,0.94,1018.58,240.21,1018.44,68.25,291.09,221.62,295.82,0.72,1018.13,251.29,1018.05,74.32,291.19,399.32,295.89,0.71,1017.99,260.68,1017.89,74.47,290.7,677.05,296.61,0.91,1017.48,266.45,1017.44,68.99,290.34,173.55,294.91,0.66,1017.28,253.49,1017.27,74.92
34,2020040210,shgb,289.35,102.01,293.7,0.59,1017.77,235.98,1017.63,75.84,290.26,564.53,296.23,0.89,1018.24,249.3,1018.12,68.68,290.59,354.32,296.27,0.86,1017.55,252.67,1017.41,70.04,290.87,220.44,295.19,0.64,1017.71,260.32,1017.7,76.14,290.45,154.01,294.69,0.61,1017.59,254.41,1017.62,76.49,290.42,191.14,294.65,0.61,1017.31,256.9,1017.28,76.5
35,2020040211,shgb,290.08,110.02,293.53,0.48,1020.2,243.16,1019.97,80.29,290.44,117.72,294.06,0.51,1016.98,253.61,1016.95,79.5,290.73,205.4,294.7,0.58,1017.57,232.66,1017.46,77.85,291.05,90.75,294.04,0.43,1017.24,231.94,1017.14,82.78,290.71,63.85,293.44,0.38,1018.08,248.38,1018.02,84.03,290.54,35.37,293.61,0.43,1017.71,249.7,1017.71,82.28
36,2020040212,shgb,290.58,63.68,292.87,0.32,1020.04,237.79,1019.99,86.42,290.51,241.25,294.36,0.55,1016.76,262.33,1016.66,78.35,290.72,135.83,295.09,0.64,1017.5,258.28,1017.46,75.93,290.84,217.59,294.56,0.54,1017.12,251.5,1017.16,79.06,290.72,44.71,293.22,0.35,1018.23,257.73,1018.22,85.32,290.56,13.14,293.13,0.36,1018.0,250.27,1018.05,84.9
37,2020040213,shgb,289.28,391.3,296.05,0.98,1018.61,242.44,1018.54,65.16,289.6,1015.6,297.72,1.25,1017.26,270.46,1017.25,60.12,289.94,149.5,295.05,0.73,1017.75,250.85,1017.71,72.39,289.53,275.61,295.19,0.81,1017.23,269.9,1017.23,69.87,289.42,62.25,293.91,0.62,1017.4,270.59,1017.44,75.13,289.87,0.0,292.92,0.41,1017.56,270.05,1017.59,82.35
38,2020040214,shgb,289.45,1024.46,297.44,1.21,1016.99,270.66,1016.89,60.53,289.53,411.42,295.94,0.94,1017.91,258.72,1017.91,66.68,289.6,276.8,295.77,0.9,1017.33,271.1,1017.32,67.67,289.5,62.27,294.29,0.67,1017.38,271.29,1017.42,73.72,289.8,0.0,293.19,0.46,1017.36,270.44,1017.37,80.58,290.18,0.0,292.75,0.35,1017.72,270.06,1017.75,84.89
39,2020040215,shgb,289.34,334.47,295.56,0.89,1017.86,257.63,1017.81,67.44,289.53,247.41,295.89,0.93,1017.54,268.37,1017.48,66.9,289.69,62.5,294.56,0.69,1017.42,271.16,1017.42,73.42,289.9,0.0,293.66,0.52,1017.77,265.41,1017.83,78.73,290.09,0.0,293.58,0.48,1017.98,258.3,1018.02,80.1,289.87,0.0,292.99,0.42,1017.8,271.0,1017.77,81.96
40,2020040216,shgb,289.27,238.04,294.73,0.76,1018.06,264.05,1017.98,70.72,289.43,62.12,294.07,0.64,1017.6,270.48,1017.61,74.44,289.66,0.0,293.0,0.45,1017.52,271.52,1017.53,80.81,290.08,0.0,292.92,0.39,1018.17,269.5,1018.2,83.47,290.12,0.0,292.68,0.35,1018.27,269.53,1018.26,84.92,289.58,0.0,292.28,0.36,1018.08,268.97,1018.06,84.14
41,2020040217,shgb,289.23,62.18,293.74,0.61,1018.59,270.4,1018.6,75.02,289.52,0.0,292.75,0.43,1017.69,270.31,1017.76,81.35,289.61,0.0,292.45,0.38,1017.54,270.26,1017.57,83.43,290.2,0.0,292.6,0.32,1018.14,269.27,1018.17,85.79,289.98,0.0,292.56,0.35,1018.44,269.13,1018.4,84.82,289.64,0.0,292.05,0.32,1018.58,267.87,1018.59,85.68
42,2020040218,shgb,289.63,0.0,292.57,0.39,1018.13,270.53,1018.14,82.86,289.58,0.0,292.15,0.34,1018.41,269.34,1018.44,84.8,289.51,0.0,291.9,0.31,1017.59,269.51,1017.63,85.78,289.93,0.0,292.0,0.27,1018.01,268.64,1018.05,87.59,290.11,0.0,292.08,0.26,1018.02,268.03,1018.01,88.19,289.63,0.0,291.78,0.28,1018.37,266.54,1018.39,87.14
43,2020040219,shgb,290.3,0.0,292.37,0.28,1017.14,269.39,1017.11,87.61,290.22,0.0,292.04,0.24,1018.46,268.81,1018.5,88.98,289.98,0.0,291.59,0.21,1017.95,268.7,1017.96,90.21,290.25,0.0,291.54,0.17,1018.28,267.5,1018.33,92.04,290.29,0.0,292.8,0.34,1017.85,255.16,1017.86,85.24,290.07,0.0,292.45,0.32,1017.74,261.03,1017.78,85.87
44,2020040220,shgb,289.91,0.0,292.59,0.36,1018.04,269.36,1017.99,84.31,289.81,0.0,292.11,0.3,1018.85,268.31,1018.91,86.33,289.92,0.0,291.76,0.24,1018.63,267.1,1018.65,88.89,290.61,0.0,292.65,0.28,1018.2,259.5,1018.25,87.82,290.28,0.0,292.62,0.32,1017.41,260.47,1017.39,86.12,290.38,0.0,292.19,0.24,1017.11,267.33,1017.08,89.1
45,2020040221,shgb,290.0,0.0,292.47,0.33,1018.01,269.39,1017.95,85.41,290.14,0.0,292.49,0.32,1018.47,263.42,1018.54,86.1,290.15,0.0,292.44,0.31,1017.91,266.43,1018.0,86.39,290.4,0.0,292.76,0.32,1018.05,252.89,1018.11,86.05,290.29,0.0,292.43,0.29,1017.52,263.52,1017.57,87.23,290.38,0.0,292.64,0.31,1017.09,263.62,1017.12,86.59
46,2020040222,shgb,290.17,0.0,292.95,0.38,1018.38,259.6,1018.32,83.75,290.13,0.0,292.86,0.37,1018.37,251.57,1018.35,84.02,290.04,0.0,292.35,0.31,1017.56,267.92,1017.72,86.26,290.31,0.0,292.11,0.24,1017.67,266.43,1017.73,89.13,290.3,0.0,291.95,0.22,1017.18,266.27,1017.17,89.98,290.09,0.0,291.82,0.23,1017.04,266.79,1017.06,89.54
47,2020040223,shgb,290.75,0.0,292.74,0.27,1019.89,233.77,1019.84,88.11,290.07,0.0,292.26,0.29,1016.6,262.09,1016.71,86.94,289.8,0.0,292.04,0.3,1017.59,262.42,1017.7,86.61,290.2,0.0,292.43,0.3,1017.01,257.11,1016.97,86.76,289.82,0.0,292.16,0.31,1017.7,263.99,1017.71,86.11,289.92,0.0,292.19,0.3,1017.64,262.44,1017.65,86.5
48,2020040300,shgb,290.34,0.0,292.42,0.28,1019.27,254.59,1019.33,87.53,290.63,0.0,291.95,0.18,1016.8,256.07,1016.9,91.9,290.25,0.0,292.07,0.24,1017.27,254.08,1017.33,89.06,290.19,0.0,292.18,0.27,1017.08,256.22,1017.05,88.07,289.81,0.0,292.14,0.31,1017.99,263.75,1017.99,86.19,289.92,0.0,292.17,0.3,1018.06,260.6,1018.11,86.56
49,2020040301,shgb,289.24,0.0,292.29,0.4,1019.21,206.81,1019.21,82.27,288.93,0.0,291.8,0.37,1016.94,262.19,1017.05,83.15,289.1,0.0,291.54,0.31,1017.8,250.05,1017.84,85.5,289.14,0.0,291.82,0.34,1018.0,245.75,1018.02,84.17,289.77,0.0,291.93,0.28,1018.64,242.22,1018.63,87.09,289.86,110.13,292.78,0.39,1018.68,254.01,1018.71,83.0
50,2020040302,shgb,288.88,0.0,292.38,0.45,1018.14,256.07,1018.17,79.88,288.97,0.0,291.56,0.33,1016.93,260.68,1017.05,84.62,289.43,0.0,291.97,0.33,1018.14,249.8,1018.18,84.97,289.36,0.0,291.82,0.32,1018.34,252.51,1018.38,85.4,289.67,21.31,292.26,0.34,1018.46,248.63,1018.45,84.7,289.78,455.08,296.09,0.93,1018.24,261.99,1018.29,67.16
51,2020040303,shgb,288.74,0.0,291.77,0.38,1018.09,256.15,1018.16,82.3,289.85,0.0,291.62,0.23,1017.31,253.05,1017.35,89.28,290.06,0.0,292.05,0.26,1018.7,244.95,1018.79,88.02,289.39,229.49,293.33,0.53,1018.14,262.54,1018.17,77.76,289.55,394.43,295.82,0.91,1018.2,258.58,1018.23,67.27,289.74,238.04,296.69,1.04,1017.78,249.17,1017.77,64.53
52,2020040304,shgb,290.11,0.0,291.7,0.21,1018.64,259.99,1018.68,90.29,289.54,0.0,292.1,0.33,1017.96,264.98,1018.04,84.89,289.53,55.36,292.49,0.39,1018.59,204.81,1018.67,82.76,289.6,65.92,293.14,0.48,1017.98,235.25,1017.97,79.77,289.78,296.39,296.38,0.98,1018.35,245.79,1018.42,66.03,289.19,430.99,298.53,1.45,1017.66,250.49,1017.63,55.71
53,2020040305,shgb,289.41,0.0,292.37,0.39,1018.26,252.17,1018.22,82.73,289.59,34.73,292.32,0.36,1018.37,216.4,1018.42,83.93,289.21,321.16,295.12,0.83,1017.71,249.64,1017.68,68.78,289.35,625.15,299.02,1.53,1017.44,258.05,1017.49,54.61,290.37,572.91,299.55,1.51,1017.77,261.65,1017.76,56.6,291.09,865.94,299.31,1.37,1018.14,272.32,1018.12,60.06
54,2020040306,shgb,289.32,183.63,293.24,0.53,1017.83,250.37,1017.67,77.9,289.28,142.88,294.36,0.7,1018.43,254.47,1018.41,72.4,288.91,707.77,300.31,1.85,1017.22,272.71,1017.31,49.11,288.68,754.29,302.97,2.49,1016.91,276.59,1016.98,41.42,290.68,777.8,299.36,1.43,1017.25,271.16,1017.27,58.43,290.68,906.98,300.01,1.57,1017.05,274.36,1017.01,56.14
55,2020040307,shgb,289.27,380.2,296.78,1.11,1016.83,268.33,1016.79,62.26,289.78,584.35,301.46,2.0,1017.47,272.34,1017.48,48.5,291.83,752.92,300.82,1.59,1016.96,276.27,1017.02,57.59,292.04,866.32,300.27,1.44,1016.9,273.56,1016.99,60.26,291.52,919.68,300.38,1.54,1016.2,274.62,1016.22,57.95,291.0,905.18,299.59,1.44,1016.11,273.43,1016.15,58.72
56,2020040308,shgb,288.88,813.87,301.42,2.1,1016.64,272.23,1016.64,45.87,289.79,759.59,300.87,1.86,1017.85,275.3,1017.88,50.47,290.08,870.56,300.17,1.68,1017.3,274.36,1017.32,53.51,289.86,922.74,300.82,1.85,1016.83,274.54,1016.86,50.78,290.78,907.43,299.8,1.51,1015.9,273.5,1015.93,57.26,290.94,825.81,299.19,1.36,1015.53,273.42,1015.54,59.97
57,2020040309,shgb,289.33,866.65,300.54,1.85,1016.52,271.92,1016.51,49.96,290.39,871.07,300.33,1.67,1017.46,273.76,1017.49,54.08,290.42,922.95,300.53,1.71,1016.57,275.17,1016.59,53.58,290.72,907.22,299.66,1.49,1016.52,273.19,1016.57,57.53,290.82,826.13,299.02,1.35,1015.9,272.53,1015.93,60.11,290.79,684.78,298.09,1.17,1015.96,272.4,1015.97,63.47
58,2020040310,shgb,290.33,871.19,300.01,1.62,1016.97,271.96,1016.99,54.86,290.22,923.58,300.41,1.71,1016.62,274.49,1016.63,53.26,290.99,907.48,299.85,1.5,1016.18,274.04,1016.16,57.81,291.13,825.94,298.85,1.27,1016.19,272.37,1016.21,61.96,291.32,684.01,298.03,1.09,1016.26,271.56,1016.22,65.85,290.83,504.56,296.77,0.92,1016.38,270.71,1016.38,68.94
59,2020040311,shgb,290.25,923.92,300.68,1.77,1018.22,273.84,1018.28,52.49,290.35,907.32,299.86,1.58,1015.31,273.26,1015.33,55.47,290.76,826.03,299.1,1.37,1015.94,273.34,1015.98,59.59,290.79,684.98,298.01,1.15,1015.65,272.04,1015.67,63.76,290.42,496.22,296.9,0.99,1016.51,270.56,1016.53,66.61,290.45,278.8,295.4,0.73,1016.5,269.04,1016.48,73.18
60,2020040312,shgb,290.58,908.43,299.95,1.57,1018.03,271.53,1018.08,55.97,290.89,826.09,299.46,1.43,1014.9,273.19,1014.92,58.85,290.87,685.08,298.4,1.22,1016.05,273.2,1016.11,62.6,290.78,496.34,296.71,0.91,1016.01,270.71,1016.03,68.92,290.44,288.24,295.24,0.7,1017.26,269.12,1017.24,73.85,290.32,64.27,293.65,0.47,1017.22,267.04,1017.17,80.92
61,2020040313,shgb,291.28,827.39,299.21,1.32,1016.26,273.08,1016.27,61.19,291.1,686.23,298.41,1.19,1014.94,273.66,1014.98,63.5,291.11,497.33,296.76,0.88,1016.07,272.06,1016.08,70.23,290.75,348.33,294.86,0.6,1016.91,267.03,1016.88,77.12,290.71,36.83,293.66,0.42,1017.8,264.62,1017.78,82.97,290.45,0.0,293.34,0.4,1018.13,261.47,1018.15,83.22
62,2020040314,shgb,290.95,686.83,298.32,1.19,1014.91,274.07,1014.87,63.23,291.17,498.72,296.93,0.9,1015.9,271.17,1015.88,69.79,290.92,344.87,295.33,0.66,1016.64,268.5,1016.67,75.73,290.79,61.01,293.6,0.4,1017.74,266.02,1017.71,83.67,290.5,0.0,293.3,0.39,1018.27,262.17,1018.2,83.7,290.17,0.0,293.0,0.39,1018.81,256.91,1018.77,83.51
63,2020040315,shgb,290.9,496.6,296.95,0.94,1016.05,270.41,1016.02,68.47,290.98,427.79,295.47,0.67,1016.84,268.04,1016.83,75.37,290.84,37.41,294.03,0.46,1017.47,262.43,1017.48,81.71,290.82,0.0,293.28,0.35,1018.44,259.74,1018.42,85.51,290.38,0.0,292.92,0.35,1018.75,257.92,1018.7,85.06,290.24,0.0,292.7,0.33,1019.06,255.47,1018.99,85.48
